Dataset	Disease	Tissue	Sample	Replicate	ORF1p	ORF2p	ORF0	ORF1p_variants	ORF2p_variants	HERV_proteins	PTMs
PXD005733	adjacent_normal	NA	1	1	0	0	0	0	0	0	NA
PXD005733	adjacent_normal	NA	1	1	0	0	0	0	0	0	NA
PXD005733	adjacent_normal	NA	2	1	0	0	0	0	0	0	NA
PXD005733	adjacent_normal	NA	2	1	0	0	0	0	0	0	NA
PXD005733	adjacent_normal	NA	3	1	0	0	0	0	0	0	NA
PXD005733	adjacent_normal	NA	3	1	0	0	0	0	0	0	NA
PXD005733	adjacent_normal	NA	4	1	0	0	0	0	0	0	NA
PXD005733	adjacent_normal	NA	4	1	0	0	0	0	0	0	NA
PXD005733	lung_tumour	NA	5	1	0	0	0	0	0	0	NA
PXD005733	lung_tumour	NA	5	1	0	0	0	0	0	0	NA
PXD005733	lung_tumour	NA	6	1	0	0	0	0	0	0	NA
PXD005733	lung_tumour	NA	6	1	0	0	0	0	0	0	NA
PXD005733	lung_tumour	NA	7	1	0	0	0	0	0	0	NA
PXD005733	lung_tumour	NA	7	1	0	0	0	0	0	0	NA
PXD005733	lung_tumour	NA	8	1	0	0	0	0	0	0	NA
PXD005733	lung_tumour	NA	8	1	0	0	0	0	0	0	NA
