Dataset	Disease	Tissue	Sample	Replicate	ORF1p	ORF2p	ORF0	ORF1p_variants	ORF2p_variants	HERV_proteins	PTMs
PXD004280	healthy	NA	1	1	0	0	0	0	0	0	NA
PXD004280	healthy	NA	2	1	0	0	0	0	ORF2p_PA2_3_(16.302)	0	NA
PXD004280	healthy	NA	3	1	0	0	0	0	0	0	NA
PXD004280	healthy	NA	4	1	0	0	0	0	ORF2p_PA2_14_(6.557)	0	NA
PXD004280	healthy	NA	5	1	0	0	0	0	0	0	NA
PXD004280	healthy	NA	6	1	0	26.2845849802372	0	ORF1p_HS_121_(10.172)	ORF2p_PA2_29_(8.326)	0	NA
PXD004280	healthy	NA	7	1	0	0	0	0	0	0	NA
PXD004280	healthy	NA	8	1	0	0	0	0	ORF2p_HS_85_(96.491)	0	NA
PXD004280	healthy	NA	9	1	0	0	0	ORF1p_HS_120_(12.141)	ORF2p_PA2_30_(16.3),ORF2p_PA2_21_(9.505)	C9JY47_(7.551)	NA
PXD004280	healthy	NA	10	1	0	0	0	0	ORF2p_PA2_3_(21.268),ORF2p_HS_85_(5.513)	0	NA
PXD004280	healthy	NA	11	1	0	0	0	0	0	0	NA
PXD004280	healthy	NA	12	1	0	0	0	0	ORF2p_HS_42_(25.96),ORF2p_PA2_21_(19.296),ORF2p_HS_25_(19.296)	Q9XRX5_(5.326)	NA
PXD004280	healthy	NA	13	1	0	0	0	0	0	P63132_(5.511)	NA
PXD004280	healthy	NA	14	1	0	0	0	0	0	0	NA
PXD004280	healthy	NA	15	1	0	0	0	0	ORF2p_HS_34_(13.546)	0	NA
PXD004280	healthy	NA	16	1	0	0	0	0	0	Q9XRX5_(14.171)	NA
PXD004280	healthy	NA	17	1	0	0	0	0	0	0	NA
PXD004280	healthy	NA	18	1	0	0	0	0	ORF2p_HS_85_(80.868),ORF2p_HS_20_(6.306)	P62684_(7.978)	NA
PXD004280	healthy	NA	19	1	0	0	0	0	ORF2p_HS_85_(14.214),ORF2p_HS_12_(9.045)	0	NA
PXD004280	healthy	NA	20	1	0	0	0	ORF1p_HS_34_(8.683)	ORF2p_HS_108_(10.078),ORF2p_PA3_1_(6.522)	Q9XRX5_(15.19)	NA
PXD004280	healthy	NA	21	1	0	0	0	0	0	0	NA
PXD004280	healthy	NA	22	1	0	0	0	0	0	0	NA
PXD004280	healthy	NA	23	1	0	0	0	0	ORF2p_HS_34_(12.352)	0	NA
PXD004280	healthy	NA	24	1	0	0	0	0	ORF2p_PA2_2_(36.752)	0	NA
PXD004280	healthy	NA	25	1	0	0	0	0	0	0	NA
PXD004280	healthy	NA	26	1	0	0	0	0	ORF2p_PA2_3_(19.217)	0	NA
PXD004280	healthy	NA	27	1	0	0	0	0	ORF2p_HS_83_(5.882)	0	NA
PXD004280	healthy	NA	28	1	0	0	0	0	0	0	NA
PXD004280	healthy	NA	29	1	0	0	0	0	ORF2p_PA2_2_(40)	0	NA
PXD004280	healthy	NA	30	1	0	0	0	0	0	0	NA
PXD004280	healthy	NA	31	1	0	0	0	0	ORF2p_PA2_1_(22.273),ORF2p_PA2_30_(22.273)	Q9N2K0_(38.51)	NA
PXD004280	healthy	NA	32	1	0	0	0	0	0	0	NA
