Dataset	Disease	Tissue	Sample	Replicate	ORF1p	ORF2p	ORF0	ORF1p_variants	ORF2p_variants	HERV_proteins	PTMs
PXD004682	non-small cell lung carcinoma	NA	 1	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	 1	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	 2	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	 2	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	 3	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	 3	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	 4	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	 4	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	 5	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	 5	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	 6	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	 6	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	 7	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	 7	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	 8	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	 8	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	 9	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	 9	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	10	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	10	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	11	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	11	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	12	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	12	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	13	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	13	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	14	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	14	1	0	0	0	0	0	0	NA
PXD004682	non-small cell lung carcinoma	NA	15	1	0	0	0	0	0	0	NA
