Dataset	Disease	Tissue	Sample	Replicate	ORF1p	ORF2p	ORF0	ORF1p_variants	ORF2p_variants	HERV_proteins	PTMs
PXD004818	malignant_mesothelioma	NA	1	1	0	0	0	0	0	0	NA
PXD004818	malignant_mesothelioma	NA	1	1	0	0	0	0	0	0	NA
PXD004818	malignant_mesothelioma	NA	1	1	0	0	0	0	0	0	NA
PXD004818	malignant_mesothelioma	NA	2	1	0	0	0	0	0	0	NA
PXD004818	malignant_mesothelioma	NA	2	1	0	0	0	0	0	0	NA
PXD004818	malignant_mesothelioma	NA	2	1	0	0	0	0	0	0	NA
PXD004818	malignant_mesothelioma	NA	3	1	0	0	0	0	0	0	NA
PXD004818	malignant_mesothelioma	NA	3	1	0	0	0	0	0	0	NA
PXD004818	malignant_mesothelioma	NA	3	1	0	0	0	0	0	0	NA
PXD004818	malignant_mesothelioma	NA	4	1	0	0	0	0	0	0	NA
PXD004818	malignant_mesothelioma	NA	4	1	0	0	0	0	0	0	NA
PXD004818	malignant_mesothelioma	NA	4	1	0	0	0	0	0	0	NA
PXD004818	malignant_mesothelioma	NA	5	1	0	0	0	0	ORF2p_HS_115_(5.047)	0	NA
PXD004818	malignant_mesothelioma	NA	5	1	0	0	0	0	ORF2p_HS_115_(5.047)	0	NA
PXD004818	malignant_mesothelioma	NA	5	1	0	0	0	0	ORF2p_HS_115_(5.047)	0	NA
PXD004818	malignant_mesothelioma	NA	6	1	0	0	0	0	ORF2p_PA2_23_(0.336),ORF2p_HS_100_(0.336),ORF2p_PA2_27_(0.336)	0	NA
PXD004818	malignant_mesothelioma	NA	6	1	0	0	0	0	ORF2p_PA2_23_(0.336),ORF2p_HS_100_(0.336),ORF2p_PA2_27_(0.336)	0	NA
PXD004818	malignant_mesothelioma	NA	6	1	0	0	0	0	ORF2p_PA2_23_(0.336),ORF2p_HS_100_(0.336),ORF2p_PA2_27_(0.336)	0	NA
PXD004818	malignant_mesothelioma	NA	7	1	0	0	0	0	0	0	NA
PXD004818	malignant_mesothelioma	NA	7	1	0	0	0	0	0	0	NA
PXD004818	malignant_mesothelioma	NA	7	1	0	0	0	0	0	0	NA
PXD004818	malignant_mesothelioma	NA	8	1	0	0	0	0	0	0	NA
PXD004818	malignant_mesothelioma	NA	8	1	0	0	0	0	0	0	NA
PXD004818	malignant_mesothelioma	NA	8	1	0	0	0	0	0	0	NA
PXD004818	malignant_mesothelioma	NA	9	1	0	0	0	0	0	0	NA
PXD004818	malignant_mesothelioma	NA	9	1	0	0	0	0	0	0	NA
PXD004818	malignant_mesothelioma	NA	9	1	0	0	0	0	0	0	NA
