Dataset	Disease	Tissue	Sample	Replicate	ORF1p	ORF2p	ORF0	ORF1p_variants	ORF2p_variants	HERV_proteins	PTMs
PXD005150	spleen_and_sarcoidosis_TB?	NA	 1	1	0	0	0	0	0	0	NA
PXD005150	spleen_and_sarcoidosis_TB?	NA	 2	1	0	0	0	0	0	0	NA
PXD005150	spleen_and_sarcoidosis_TB?	NA	 3	1	0	0	0	0	0	0	NA
PXD005150	spleen_and_sarcoidosis_TB?	NA	 4	1	0	0	0	0	0	0	NA
PXD005150	spleen_and_sarcoidosis_TB?	NA	 5	1	0	0	0	0	0	0	NA
PXD005150	spleen_and_sarcoidosis_TB?	NA	 6	1	0	0	0	0	0	0	NA
PXD005150	spleen_and_sarcoidosis_TB?	NA	 7	1	0	0	0	0	0	0	NA
PXD005150	spleen_and_sarcoidosis_TB?	NA	 8	1	0	0	0	0	0	0	NA
PXD005150	spleen_and_sarcoidosis_TB?	NA	 9	1	0	0	0	0	0	0	NA
PXD005150	spleen_and_sarcoidosis_TB?	NA	10	1	0	0	0	0	0	0	NA
PXD005150	spleen_and_sarcoidosis_TB?	NA	11	1	0	0	0	0	0	0	NA
PXD005150	spleen_and_sarcoidosis_TB?	NA	12	1	0	0	0	0	0	0	NA
PXD005150	spleen_and_sarcoidosis_TB?	NA	13	1	0	0	0	0	0	0	NA
PXD005150	spleen_and_sarcoidosis_TB?	NA	14	1	0	0	0	0	0	0	NA
PXD005150	spleen_and_sarcoidosis_TB?	NA	15	1	0	0	0	0	0	0	NA
PXD005150	spleen_and_sarcoidosis_TB?	NA	16	1	0	0	0	0	0	0	NA
PXD005150	spleen_and_sarcoidosis_TB?	NA	17	1	0	0	0	0	0	0	NA
PXD005150	spleen_and_sarcoidosis_TB?	NA	18	1	0	0	0	0	0	0	NA
PXD005150	spleen_and_sarcoidosis_TB?	NA	19	1	0	0	0	0	0	0	NA
PXD005150	spleen_and_sarcoidosis_TB?	NA	20	1	0	0	0	0	0	0	NA
PXD005150	spleen_and_sarcoidosis_TB?	NA	21	1	0	0	0	0	0	0	NA
PXD005150	spleen_and_sarcoidosis_TB?	NA	22	1	0	0	0	0	0	0	NA
PXD005150	spleen_and_sarcoidosis_TB?	NA	23	1	0	0	0	0	0	0	NA
PXD005150	spleen_and_sarcoidosis_TB?	NA	24	1	0	0	0	0	0	0	NA
PXD005150	spleen_and_sarcoidosis_TB?	NA	25	1	0	0	0	0	0	0	NA
PXD005150	spleen_and_sarcoidosis_TB?	NA	26	1	0	0	0	0	0	0	NA
PXD005150	spleen_and_sarcoidosis_TB?	NA	27	1	0	0	0	0	0	0	NA
PXD005150	spleen_and_sarcoidosis_TB?	NA	28	1	0	0	0	0	0	0	NA
PXD005150	spleen_and_sarcoidosis_TB?	NA	29	1	0	0	0	0	0	0	NA
PXD005150	spleen_and_sarcoidosis_TB?	NA	30	1	0	0	0	0	0	0	NA
PXD005150	spleen_and_sarcoidosis_TB?	NA	31	1	0	0	0	0	0	0	NA
PXD005150	spleen_and_sarcoidosis_TB?	NA	32	1	0	0	0	0	0	0	NA
PXD005150	spleen_and_sarcoidosis_TB?	NA	33	1	0	0	0	0	0	0	NA
PXD005150	spleen_and_sarcoidosis_TB?	NA	34	1	0	0	0	0	0	0	NA
PXD005150	spleen_and_sarcoidosis_TB?	NA	35	1	0	0	0	0	0	0	NA
PXD005150	spleen_and_sarcoidosis_TB?	NA	36	1	0	0	0	0	0	0	NA
PXD005150	spleen_and_sarcoidosis_TB?	NA	37	1	0	0	0	0	0	0	NA
PXD005150	spleen_and_sarcoidosis_TB?	NA	38	1	0	0	0	0	0	0	NA
PXD005150	spleen_and_sarcoidosis_TB?	NA	39	1	0	0	0	0	0	0	NA
PXD005150	spleen_and_sarcoidosis_TB?	NA	40	1	0	0	0	0	0	0	NA
PXD005150	spleen_and_sarcoidosis_TB?	NA	41	1	0	0	0	0	0	0	NA
PXD005150	spleen_and_sarcoidosis_TB?	NA	42	1	0	0	0	0	0	0	NA
