Dataset	Disease	Tissue	Sample	Replicate	ORF1p	ORF2p	ORF0	ORF1p_variants	ORF2p_variants	HERV_proteins	PTMs
PXD003409	healthy	NA	1	1	0	0	0	0	ORF2p_HS_72_(18.902)	0	NA
PXD003409	healthy	NA	2	1	0	0	0	0	0	0	NA
PXD003409	healthy	NA	3	1	0	0	0	0	ORF2p_PA2_4_(23.571)	0	NA
PXD003409	healthy	NA	4	1	0	0	0	0	ORF2p_HS_85_(30.769),ORF2p_HS_122_(17.949)	0	NA
PXD003409	healthy	NA	5	1	0	0	0	0	0	0	NA
PXD003409	healthy	NA	6	1	0	0	0	0	ORF2p_PA2_19_(7.407)	0	NA
PXD003409	healthy	NA	7	1	0	0	0	0	ORF2p_PA2_15_(10.37)	0	NA
PXD003409	healthy	NA	8	1	0	0	0	0	0	0	NA
PXD003409	healthy	NA	9	1	0	0	0	0	ORF2p_HOT_4_(31.759),ORF2p_HS_108_(7.552)	0	NA
PXD003409	healthy	NA	10	1	0	0	0	ORF1p_PA2_7_(2.556)	ORF2p_HS_42_(1.049)	P61576_(2.556)	NA
PXD003409	healthy	NA	11	1	0	0	0	0	ORF2p_HS_7_(12.928)	0	NA
PXD003409	healthy	NA	12	1	0	0	0	0	ORF2p_PA2_4_(10.442),ORF2p_HS_7_(3.252)	0	NA
PXD003409	healthy	NA	13	1	0	0	0	0	ORF2p_HS_7_(12.5)	0	NA
PXD003409	healthy	NA	14	1	0	0	0	0	ORF2p_HS_7_(32.494)	0	NA
PXD003409	healthy	NA	15	1	0	0	0	ORF1p_PA2_30_(31.858),ORF1p_HS_75_(14.545)	ORF2p_HS_121_(47.009)	0	NA
PXD003409	healthy	NA	16	1	0	0	0	ORF1p_HS_54_(29.286)	ORF2p_HS_106_(26.923)	0	NA
PXD003409	healthy	NA	17	1	0	0	0	0	0	0	NA
PXD003409	healthy	NA	18	1	0	13.2530120481928	0	0	ORF2p_PA2_28_(64.331),ORF2p_PA2_2_(56.688),ORF2p_PA2_21_(13.497)	0	NA
PXD003409	healthy	NA	19	1	0	7.01402805611222	0	0	0	0	NA
PXD003409	healthy	NA	20	1	0	0	0	ORF1p_HS_54_(17.46)	0	0	NA
PXD003409	healthy	NA	21	1	0	0	0	0	0	P63132_(16.19)	NA
PXD003409	healthy	NA	22	1	0	0	0	0	ORF2p_PA2_16_(1.802)	0	NA
PXD003409	healthy	NA	23	1	0	0	0	0	ORF2p_HS_7_(40.909)	0	NA
PXD003409	healthy	NA	24	1	0	0	0	ORF1p_PA2_15_(79.012)	0	0	NA
PXD003409	healthy	NA	25	1	0	0	0	0	ORF2p_HS_7_(39.216)	0	NA
PXD003409	healthy	NA	26	1	0	0	0	0	0	0	NA
